State,Year,Age,Type of Disorder,Sex,Type of Mental Disorder,Occupation,"New cases per 100,000","New Cases / 100,000",
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.0065175,53,
Uttarakhand,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.41645461,53,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.28219066,52,
Other Union Territories,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.43407649,52,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.83244964,52,
Assam,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.4260646,53,
Delhi,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.46202665,52,
Goa,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,51.73850482,51,
Haryana,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.43402345,52,
Karnataka,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.56064664,52,
Kerala,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,51.93493591,51,
Maharashtra,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.38044641,52,
Manipur,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.42883169,52,
Meghalaya,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.89984132,52,
Mizoram,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.79720971,52,
Nagaland,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.67833511,52,
Odisha,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.85713582,53,
Punjab,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.31313989,52,
Rajasthan,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.08990766,53,
Sikkim,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.45382261,52,
Tamil Nadu,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,41.26496183,41,
Tripura,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.99793892,52,
West Bengal,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.41498921,52,
Bihar,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.10114365,53,
Chhattisgarh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.43267063,53,
Jharkhand,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.21564095,53,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.41549493,53,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,53.48437563,53,
Gujarat,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.767367,52,
Telangana,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.74917377,52,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.76169696,46,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.50436942,47,
Uttarakhand,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.72901781,47,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.93669476,46,
Other Union Territories,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.41764606,46,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.54884436,47,
Assam,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,48.60510186,48,
Delhi,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.95221093,46,
Goa,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.39586325,46,
Haryana,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.17756166,47,
Karnataka,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.0838105,47,
Kerala,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,45.77256236,45,
Maharashtra,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.96613411,46,
Manipur,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.18539639,47,
Meghalaya,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.25883129,47,
Mizoram,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.0879284,47,
Nagaland,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.1646384,47,
Odisha,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,48.1055319,48,
Punjab,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.90963108,46,
Rajasthan,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.37542892,47,
Sikkim,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,46.7917645,46,
Tamil Nadu,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,36.41571972,36,
Tripura,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.3334553,47,
West Bengal,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.17288069,47,
Bihar,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,48.02741615,48,
Chhattisgarh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,48.13602953,48,
Jharkhand,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.9942507,47,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.93351362,47,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,48.36101964,48,
Gujarat,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.66653119,47,
Telangana,2019,10-14 y,Mental Disorder,Female,Bipolar disorder,School Student,47.235669,47,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Uttarakhand,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Other Union Territories,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Assam,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Delhi,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Goa,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Haryana,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Karnataka,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1346.245787,1346,
Kerala,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1408.056115,1408,
Maharashtra,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Manipur,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Meghalaya,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Mizoram,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Nagaland,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Odisha,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Punjab,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Rajasthan,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Sikkim,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Tamil Nadu,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Tripura,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
West Bengal,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Bihar,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Chhattisgarh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Jharkhand,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1650.581321,1650,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Gujarat,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Telangana,2019,10-14 y,Mental Disorder,Male,Conduct disorder,School Student,1443.103098,1443,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Uttarakhand,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Other Union Territories,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Assam,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Delhi,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Goa,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Haryana,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Karnataka,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,918.7884368,918,
Kerala,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,833.9983744,833,
Maharashtra,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Manipur,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Meghalaya,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Mizoram,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Nagaland,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Odisha,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Punjab,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Rajasthan,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Sikkim,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Tamil Nadu,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Tripura,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
West Bengal,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Bihar,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Chhattisgarh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Jharkhand,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,855.8829143,855,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Gujarat,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Telangana,2019,10-14 y,Mental Disorder,Female,Conduct disorder,School Student,859.8883061,859,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,705.9419927,705,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,784.8478475,784,
Uttarakhand,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,708.7800567,708,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,734.3731154,734,
Other Union Territories,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,749.9235854,749,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,778.2634071,778,
Assam,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,564.1377137,564,
Delhi,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,730.8991995,730,
Goa,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,733.0856942,733,
Haryana,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,954.8421921,954,
Karnataka,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,521.8070477,521,
Kerala,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,689.8266041,689,
Maharashtra,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,875.1354352,875,
Manipur,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,725.6962806,725,
Meghalaya,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,783.0305848,783,
Mizoram,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,708.978833,708,
Nagaland,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,719.2634606,719,
Odisha,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,774.3652386,774,
Punjab,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,535.6725501,535,
Rajasthan,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,706.1437972,706,
Sikkim,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,714.2085179,714,
Tamil Nadu,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,903.8371304,903,
Tripura,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,709.693351,709,
West Bengal,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,672.5963997,672,
Bihar,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,720.7700647,720,
Chhattisgarh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,455.5140303,455,
Jharkhand,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,841.9475163,841,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,493.9808496,493,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,592.3775603,592,
Gujarat,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,588.2988967,588,
Telangana,2019,10-14 y,Mental Disorder,Male,Depressive disorders,School Student,775.6523289,775,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1157.728706,1157,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1306.073317,1306,
Uttarakhand,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1159.147356,1159,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1187.631332,1187,
Other Union Territories,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1238.458999,1238,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1297.710134,1297,
Assam,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,896.9368212,896,
Delhi,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1180.052262,1180,
Goa,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1181.979636,1181,
Haryana,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1804.051394,1804,
Karnataka,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,841.8720242,841,
Kerala,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1165.888618,1165,
Maharashtra,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1515.908213,1515,
Manipur,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1442.127399,1442,
Meghalaya,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1263.625045,1263,
Mizoram,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1164.086126,1164,
Nagaland,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1202.056859,1202,
Odisha,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1274.453935,1274,
Punjab,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1110.252688,1110,
Rajasthan,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1040.310305,1040,
Sikkim,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1195.927737,1195,
Tamil Nadu,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1730.464839,1730,
Tripura,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1174.386371,1174,
West Bengal,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1383.300641,1383,
Bihar,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1168.821568,1168,
Chhattisgarh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,857.312435,857,
Jharkhand,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1059.164902,1059,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,915.3946762,915,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,925.2025437,925,
Gujarat,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,817.0056037,817,
Telangana,2019,10-14 y,Mental Disorder,Female,Depressive disorders,School Student,1291.808181,1291,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,340.599657,340,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,358.500291,358,
Uttarakhand,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,385.2644063,385,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,381.4363218,381,
Other Union Territories,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,404.2518646,404,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,359.0765661,359,
Assam,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,322.3769813,322,
Delhi,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,436.5076595,436,
Goa,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,453.4202874,453,
Haryana,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,394.3436325,394,
Karnataka,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,378.8903862,378,
Kerala,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,387.7489512,387,
Maharashtra,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,384.7843298,384,
Manipur,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,319.9352186,319,
Meghalaya,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,335.918215,335,
Mizoram,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,359.6715333,359,
Nagaland,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,356.356143,356,
Odisha,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,327.7376869,327,
Punjab,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,369.254578,369,
Rajasthan,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,339.0609575,339,
Sikkim,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,424.6207454,424,
Tamil Nadu,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,379.6557149,379,
Tripura,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,339.0176016,339,
West Bengal,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,338.8102533,338,
Bihar,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,281.3442349,281,
Chhattisgarh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,336.8066502,336,
Jharkhand,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,316.5451699,316,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,324.3390813,324,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,307.5196332,307,
Gujarat,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,381.5651608,381,
Telangana,2019,10-14 y,Mental Disorder,Male,Eating disorders,School Student,382.5761052,382,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Female,Eating disorders,School Student,171.9664063,171,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Female,Eating disorders,School Student,181.6595859,181,
Uttarakhand,2019,10-14 y,Mental Disorder,Female,Eating disorders,School Student,192.6755989,192,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Female,Eating disorders,School Student,190.2198288,190,
Other Union Territories,2019,10-14 y,Mental Disorder,Female,Eating disorders,School Student,203.679802,203,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Female,Eating disorders,School Student,181.4017497,181,
