,TypeName,Inches,Ram,OpSys,Weight,Price,Screen Height,Screen Width,Cpu GHz,Cpu Name,Memory Type,Memory Size,CPU Company,Has GPU
56,Notebook,15.6,4.0,Windows 10,1.91,23389.92,1080,1920,2.0,Intel,SSD,128,Intel,0
57,Notebook,15.6,4.0,Windows 10,2.0,31232.203200000004,768,1366,2.5,Intel,SSD,256,Intel,0
58,Gaming,17.3,16.0,Windows 10,2.43,130482.72,1080,1920,2.8,Intel,Both,2304,Intel,1
59,Notebook,15.6,4.0,Linux,2.0,22111.2,1080,1920,2.0,Intel,SSD,256,Intel,0
60,Notebook,17.3,16.0,Windows 10,2.8,69210.72,1080,1920,1.8,Intel,Both,2304,Intel,1
61,Ultrabook,14.0,8.0,Windows 10,1.7,46833.12,1080,1920,1.6,Intel,SSD,256,Intel,0
62,Notebook,14.0,8.0,No OS,1.7,31914.72,1080,1920,2.7,Intel,SSD,256,Intel,0
63,Notebook,14.0,8.0,Windows 10,1.4,50136.48,1080,1920,1.6,Intel,SSD,256,Intel,0
64,Notebook,15.6,8.0,Windows 10,1.86,36763.2,1080,1920,2.5,Intel,SSD,256,Intel,0
65,Ultrabook,15.6,16.0,Windows 10,1.8,105654.24,1080,1920,2.8,Intel,SSD,512,Intel,1
66,Notebook,15.6,4.0,Windows 10,1.86,23373.4032,768,1366,2.0,Intel,HDD,500,Intel,1
67,Notebook,14.0,4.0,Windows 10,1.44,12201.12,768,1366,1.6,Intel,SSD,32,Intel,0
68,Notebook,15.6,4.0,Windows 10,1.9,29250.72,1080,1920,2.5,Intel,HDD,1024,Intel,0
69,Gaming,17.3,12.0,Linux,3.0,50562.72,1080,1920,2.8,Intel,HDD,1024,Intel,1
70,Ultrabook,13.5,4.0,Windows 10 S,1.252,58021.92,1504,2256,2.5,Intel,SSD,128,Intel,0
71,Ultrabook,13.3,8.0,Windows 10,1.4,50882.4,1080,1920,1.8,Intel,SSD,256,Intel,1
72,Notebook,15.6,8.0,Windows 10,2.2,46353.6,1080,1920,1.8,Intel,SSD,256,Intel,1
73,Gaming,17.3,8.0,Windows 10,2.7,58341.6,1080,1920,2.5,Intel,Both,1152,Intel,1
74,Notebook,14.0,8.0,Windows 10,2.1,20725.92,768,1366,2.0,Intel,HDD,1024,Intel,0
75,Gaming,15.6,8.0,Windows 10,2.2,50562.72,1080,1920,2.8,Intel,HDD,1024,Intel,1
76,Notebook,15.6,8.0,No OS,2.2,27652.32,1080,1920,2.5,Intel,HDD,2048,Intel,0
77,Notebook,15.6,8.0,Windows 10,2.02,45554.4,1080,1920,1.8,Intel,Both,1152,Intel,0
78,Notebook,15.6,4.0,Windows 10,2.2,28238.4,1080,1920,2.7,Intel,HDD,1024,Intel,1
79,Notebook,17.3,8.0,Windows 10,2.5,52054.56,1080,1920,1.6,Intel,Both,1152,Intel,1
80,Ultrabook,15.6,8.0,Windows 10,1.88,58403.4048,1080,1920,1.6,Intel,SSD,256,Intel,0
81,Ultrabook,12.0,8.0,macOS,0.92,80452.8,1440,2304,1.3,Intel,SSD,512,Intel,0
82,Notebook,14.0,8.0,Windows 10,1.63,45820.8,1080,1920,1.6,Intel,SSD,256,Intel,0
83,Notebook,15.6,4.0,Windows 10,2.2,21258.72,1080,1920,2.5,AMD,SSD,128,AMD,1
84,Notebook,15.6,4.0,Windows 10,2.1,21045.6,768,1366,3.0,AMD,HDD,1024,AMD,1
85,Gaming,15.6,16.0,Windows 10,2.65,71874.72,1080,1920,2.8,Intel,Both,1152,Intel,1
86,Ultrabook,15.6,8.0,Windows 10,1.83,37242.72,1080,1920,1.8,Intel,SSD,256,Intel,1
87,Notebook,15.6,8.0,Windows 10,1.96,31914.1872,1080,1920,2.5,Intel,SSD,256,Intel,0
88,Gaming,15.6,16.0,Windows 10,2.2,77202.72,1080,1920,2.8,Intel,Both,1152,Intel,1
89,Ultrabook,13.3,8.0,Windows 10,1.21,87858.72,1080,1920,1.8,Intel,SSD,256,Intel,0
90,Gaming,15.6,8.0,Windows 10,2.45,37242.72,1080,1920,3.0,AMD,HDD,1024,AMD,1
91,Notebook,15.6,8.0,Windows 10,2.2,36709.92,1080,1920,1.8,Intel,HDD,1024,Intel,1
92,Notebook,13.3,16.0,Windows 10,1.49,63776.16,1080,1920,1.8,Intel,SSD,512,Intel,0
93,Gaming,15.6,8.0,Windows 10,2.65,63669.6,1080,1920,2.5,Intel,SSD,256,Intel,1
94,Ultrabook,14.0,8.0,Windows 10,1.25,55890.72,1080,1920,2.7,Intel,SSD,256,Intel,0
95,2 in 1 Convertible,13.3,8.0,Windows 10,1.5,45128.16,1080,1920,1.6,Intel,SSD,256,Intel,0
96,Notebook,15.6,8.0,Linux,2.2,31962.672,1080,1920,2.7,Intel,HDD,1024,Intel,1
97,Notebook,15.6,4.0,Linux,2.2,25840.8,1080,1920,2.0,Intel,SSD,256,Intel,1
98,Notebook,15.6,6.0,Windows 10,2.0,30742.56,1080,1920,2.4,Intel,SSD,256,Intel,1
99,Gaming,15.6,12.0,Windows 10,2.62,66546.72,1080,1920,2.8,Intel,Both,1152,Intel,1
100,Notebook,15.6,8.0,Windows 10,1.91,38308.32,1080,1920,2.7,Intel,SSD,256,Intel,1
101,Notebook,15.6,4.0,Windows 10,2.1,18594.72,1080,1920,1.5,AMD,HDD,500,AMD,1
102,Notebook,15.6,8.0,Linux,2.2,34472.16,1080,1920,1.6,Intel,HDD,1024,Intel,1
103,Ultrabook,13.3,8.0,Windows 10,1.38,59620.32,1080,1920,2.7,Intel,SSD,256,Intel,1
104,Ultrabook,13.5,8.0,Windows 10 S,1.252,71395.2,1504,2256,2.5,Intel,SSD,256,Intel,0
105,Notebook,14.0,6.0,Windows 10,1.58,35111.52,1080,1920,2.5,Intel,SSD,256,Intel,1
106,Notebook,15.6,4.0,Windows 10,1.85,22105.872,1080,1920,2.0,Intel,HDD,1024,Intel,0
107,Ultrabook,14.0,8.0,Windows 10,1.3,63563.04,1080,1920,2.7,Intel,SSD,256,Intel,1
108,Gaming,15.6,16.0,Windows 10,2.2,69210.72,1080,1920,2.8,Intel,Both,1280,Intel,1
109,Notebook,14.0,8.0,Windows 10,1.58,78854.4,1080,1920,2.7,Intel,SSD,256,Intel,0
110,Ultrabook,15.6,16.0,Windows 10,1.5,67239.36,1080,1920,1.8,Intel,Both,1280,Intel,1
111,Ultrabook,13.3,8.0,Windows 10,1.23,73473.12,1800,3200,2.4,Intel,SSD,256,Intel,0
112,2 in 1 Convertible,13.3,8.0,Windows 10,1.37,74538.72,1080,1920,2.5,Intel,SSD,256,Intel,0
113,Notebook,14.0,4.0,Windows 10,1.63,38468.16,768,1366,1.6,Intel,HDD,500,Intel,0
114,Ultrabook,13.3,8.0,Windows 10,1.21,86793.12,1080,1920,1.6,Intel,SSD,256,Intel,0
115,2 in 1 Convertible,13.3,8.0,Windows 10,1.26,74538.1872,1080,1920,1.6,Intel,SSD,256,Intel,0
116,Notebook,14.0,8.0,Windows 10,1.63,57755.52,1080,1920,1.8,Intel,SSD,512,Intel,0
117,Notebook,15.6,8.0,Windows 10,2.16,60223.98239999999,1080,1920,1.8,Intel,Both,1280,Intel,1
118,Notebook,17.3,4.0,Windows 10,2.0,30049.92,1080,1920,2.0,Intel,HDD,1024,Intel,1
119,Notebook,15.6,8.0,Windows 10,1.7,59567.04,1080,1920,1.8,Intel,SSD,256,Intel,1
120,Notebook,15.6,6.0,Windows 10,2.1,25521.12,1080,1920,2.4,Intel,HDD,1024,Intel,0
121,Gaming,15.6,16.0,Windows 10,1.8,119427.12,1080,1920,2.8,Intel,Both,2304,Intel,1
122,Notebook,15.6,8.0,No OS,2.2,33513.119999999995,1080,1920,2.5,Intel,SSD,256,Intel,1
123,Notebook,17.3,16.0,Windows 10,2.5,67718.88,1080,1920,1.8,Intel,SSD,512,Intel,1
124,Notebook,15.6,4.0,Windows 10,2.1,24029.28,768,1366,3.0,AMD,SSD,256,AMD,1
125,Notebook,15.6,4.0,No OS,1.86,13799.52,768,1366,1.6,Intel,HDD,500,Intel,0
126,Notebook,14.0,8.0,Windows 10,1.63,43263.36,1080,1920,1.6,Intel,HDD,1024,Intel,0
127,Notebook,14.0,4.0,Windows 10 S,1.65,14811.3072,768,1366,1.5,AMD,SSD,64,AMD,1
128,Notebook,17.3,16.0,Windows 10,2.8,74378.87999999999,1080,1920,1.8,Intel,Both,2304,Intel,1
129,Notebook,17.3,8.0,Windows 10,2.5,49443.84,1080,1920,1.6,Intel,SSD,256,Intel,0
130,Notebook,15.6,8.0,Windows 10,2.36,34045.3872,768,1366,2.5,Intel,HDD,1024,Intel,1
131,Notebook,15.6,4.0,Windows 10,2.2,23922.72,1080,1920,2.0,Intel,HDD,1024,Intel,1
132,Ultrabook,14.0,8.0,Windows 10,1.6,47099.52,1080,1920,1.8,Intel,SSD,256,Intel,0
133,Notebook,15.6,4.0,Windows 10,2.2,30476.16,1080,1920,2.7,Intel,SSD,256,Intel,1
134,Notebook,15.6,8.0,Windows 10,2.05,31861.44,768,1366,2.7,Intel,HDD,1024,Intel,0
135,Notebook,14.0,8.0,Windows 10,1.63,52640.64,1080,1920,1.8,Intel,SSD,256,Intel,0
136,Notebook,15.6,4.0,No OS,1.9,13445.7408,768,1366,1.1,Intel,HDD,1024,Intel,0
137,Gaming,17.3,8.0,Windows 10,3.0,49976.64,1080,1920,2.5,Intel,Both,1152,Intel,1
138,Notebook,15.6,4.0,No OS,2.2,26586.72,1080,1920,2.5,Intel,HDD,1024,Intel,1
139,Notebook,13.3,4.0,Windows 10,1.32,37242.72,1080,1920,2.5,Intel,SSD,256,Intel,0
140,Notebook,17.3,4.0,Windows 10,3.0,34898.4,1080,1920,2.7,Intel,HDD,1024,Intel,1
141,Notebook,14.0,8.0,Windows 10,1.75,59461.5456,1080,1920,1.6,Intel,SSD,256,Intel,1
142,Gaming,15.6,8.0,No OS,2.4,46300.32,1080,1920,2.8,Intel,SSD,256,Intel,1
143,Notebook,15.6,4.0,Windows 10,2.1,32074.56,768,1366,2.3,Intel,HDD,500,Intel,0
144,Notebook,15.6,4.0,Windows 10,1.86,19660.32,768,1366,2.5,AMD,SSD,256,AMD,1
145,Ultrabook,14.0,8.0,Windows 10,1.25,58554.72,1080,1920,1.8,Intel,SSD,256,Intel,0
146,Ultrabook,12.5,8.0,Windows 10,0.97,107305.92,2160,3840,1.2,Intel,SSD,512,Intel,0
147,Notebook,15.6,4.0,Windows 10,2.0,18328.32,1080,1920,1.1,Intel,HDD,1024,Intel,0
148,Gaming,17.3,16.0,Windows 10,2.9,108105.12,1080,1920,2.8,Intel,Both,1280,Intel,1
149,Notebook,15.6,4.0,Windows 10,2.1,23816.16,768,1366,2.0,Intel,HDD,1024,Intel,0
150,Gaming,15.6,16.0,Windows 10,2.56,66560.5728,1080,1920,2.8,Intel,SSD,512,Intel,1
151,Gaming,15.6,8.0,Windows 10,2.62,47898.72,1080,1920,2.8,Intel,Hybrid,1024,Intel,1
152,Notebook,15.6,4.0,Windows 10,1.9,26533.44,768,1366,2.5,Intel,SSD,128,Intel,0
153,Gaming,17.3,16.0,Windows 10,2.8,100699.2,1080,1920,2.8,Intel,Both,1280,Intel,1
154,Ultrabook,14.0,4.0,Windows 10,1.48,57648.96,1080,1920,2.7,Intel,SSD,256,Intel,0
155,Notebook,15.6,6.0,Windows 10,1.91,32980.32,1080,1920,1.6,Intel,SSD,256,Intel,1
156,2 in 1 Convertible,14.0,4.0,Windows 10,1.74,33513.119999999995,1080,1920,2.4,Intel,SSD,256,Intel,0
157,2 in 1 Convertible,13.3,8.0,Windows 10,1.1,70063.2,1080,1920,1.6,Intel,SSD,256,Intel,0
158,2 in 1 Convertible,15.6,8.0,Windows 10,1.56,55890.72,1080,1920,1.8,Intel,SSD,256,Intel,0
159,Notebook,15.6,4.0,Windows 10,2.1,23816.16,768,1366,2.2,Intel,HDD,500,Intel,0
160,Notebook,15.6,4.0,Windows 10,2.03,21471.84,768,1366,3.0,AMD,HDD,1024,AMD,1
161,Notebook,17.3,4.0,Windows 10,3.0,42890.4,1080,1920,1.6,Intel,SSD,256,Intel,1
162,Notebook,15.6,8.0,Windows 10,2.13,38787.84,1080,1920,1.6,Intel,SSD,256,Intel,1
163,Gaming,15.6,16.0,Windows 10,2.5,57489.12,1080,1920,2.8,Intel,SSD,256,Intel,1
164,Notebook,15.6,4.0,Windows 10,2.1,18541.44,768,1366,1.1,Intel,HDD,1024,Intel,0
165,Gaming,15.6,16.0,Windows 10,2.4,95850.72,1080,1920,2.8,Intel,Both,1280,Intel,1
166,Notebook,15.6,4.0,Windows 10,2.1,19367.8128,768,1366,1.1,Intel,HDD,1024,Intel,0
167,Gaming,15.6,8.0,Windows 10,2.56,56502.9072,1080,1920,2.8,Intel,Both,1152,Intel,1
168,Notebook,17.3,8.0,Windows 10,3.0,45501.12,1080,1920,1.6,Intel,SSD,256,Intel,1
169,Notebook,13.3,4.0,Windows 10,1.49,40173.12,1080,1920,1.6,Intel,HDD,500,Intel,0
170,Ultrabook,13.0,8.0,Windows 10,1.05,71874.72,1440,2160,2.5,Intel,SSD,256,Intel,0
171,Notebook,17.3,6.0,Windows 10,2.71,37242.72,1080,1920,2.5,Intel,HDD,2048,Intel,1
172,Notebook,15.6,4.0,No OS,2.2,16463.52,768,1366,2.9,AMD,HDD,500,AMD,1
173,Notebook,15.6,4.0,Windows 10,2.0,26053.92,768,1366,2.4,Intel,HDD,500,Intel,0
174,Notebook,17.3,8.0,Windows 10,2.5,49177.44,1080,1920,1.6,Intel,SSD,256,Intel,1
175,Notebook,15.6,8.0,Windows 10,2.3,24455.52,768,1366,2.4,Intel,HDD,1024,Intel,0
176,Notebook,15.6,4.0,Windows 10,2.1,23922.72,768,1366,2.0,Intel,SSD,128,Intel,0
177,Gaming,18.4,32.0,Windows 10,4.4,149130.72,1080,1920,2.9,Intel,Both,1536,Intel,1
178,Notebook,15.6,8.0,Windows 10,1.9,43316.64,1080,1920,2.5,Intel,Both,1152,Intel,1
179,2 in 1 Convertible,13.3,8.0,Windows 10,1.29,79866.72,2160,3840,1.6,Intel,SSD,256,Intel,0
180,Notebook,15.6,16.0,Linux,2.02,55890.72,1080,1920,1.8,Intel,Both,2304,Intel,1
181,Ultrabook,13.3,8.0,Windows 10,1.23,74538.72,1080,1920,1.6,Intel,SSD,256,Intel,0
182,2 in 1 Convertible,13.9,16.0,Windows 10,1.4,98514.72,2160,3840,1.8,Intel,SSD,512,Intel,0
183,Notebook,15.6,8.0,Windows 10,2.0,42251.04,768,1366,2.5,Intel,SSD,128,Intel,0
184,Notebook,15.6,8.0,No OS,1.95,63882.72,1080,1920,1.6,Intel,SSD,256,Intel,1
185,Notebook,17.3,16.0,Windows 10,2.77,82530.72,1080,1920,1.8,Intel,SSD,512,Intel,1
186,Notebook,15.6,16.0,Windows 10,2.06,127712.16,2160,3840,2.8,Intel,SSD,512,Intel,1
187,Gaming,15.6,8.0,No OS,2.4,41505.12,1080,1920,2.5,Intel,SSD,256,Intel,1
188,Ultrabook,13.3,8.0,Windows 10,1.12,52693.92,1080,1920,1.2,Intel,SSD,256,Intel,0
189,Notebook,17.3,8.0,Windows 10,2.8,57808.8,1080,1920,1.8,Intel,Both,1152,Intel,1
190,2 in 1 Convertible,14.0,16.0,Windows 10,1.42,150462.72,1440,2560,2.7,Intel,SSD,1024,Intel,0
191,Notebook,14.0,4.0,Windows 10,1.3,13852.8,1080,1920,1.1,Intel,Flash Storage,32,Intel,0
192,Ultrabook,13.3,8.0,No OS,1.3,53274.67199999999,1080,1920,2.5,Intel,SSD,256,Intel,1
193,Notebook,17.3,8.0,No OS,2.8,37189.44,900,1600,1.6,Intel,SSD,256,Intel,1
194,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,44701.92,1080,1920,1.8,Intel,HDD,1024,Intel,0
195,Notebook,17.3,8.0,Windows 10,2.5,48697.92,1080,1920,1.6,Intel,HDD,1024,Intel,1
196,Gaming,17.3,32.0,Windows 10,3.49,324954.72,2160,3840,2.9,Intel,SSD,1024,Intel,1
197,Notebook,13.3,8.0,Windows 10,1.49,51095.52,1080,1920,1.6,Intel,SSD,512,Intel,0
198,Gaming,17.3,16.0,Windows 10,3.35,73473.12,1080,1920,2.8,Intel,Both,1280,Intel,1
199,Notebook,17.3,8.0,Windows 10,2.5,55677.6,1080,1920,1.8,Intel,SSD,256,Intel,1
200,Gaming,15.6,16.0,Windows 10,2.65,98301.6,2160,3840,2.8,Intel,Both,1536,Intel,1
201,Notebook,15.6,4.0,Windows 10,2.1,26267.04,768,1366,2.3,Intel,SSD,128,Intel,0
202,Notebook,15.6,8.0,Windows 10,2.23,39533.76,1080,1920,2.7,Intel,HDD,1024,Intel,1
203,Gaming,15.6,16.0,Windows 10,3.2,93186.72,1080,1920,2.8,Intel,Both,1536,Intel,1
204,Workstation,15.6,16.0,Windows 10,2.8,162770.4,2160,3840,3.0,Intel,Both,1280,Intel,1
205,Gaming,15.6,16.0,No OS,2.4,74485.44,1080,1920,2.8,Intel,SSD,512,Intel,1
206,Notebook,15.6,6.0,Windows 10,2.3,23389.92,768,1366,2.4,Intel,HDD,1024,Intel,0
207,Ultrabook,13.3,8.0,Windows 10,1.21,103842.72,2160,3840,1.8,Intel,SSD,256,Intel,0
208,Ultrabook,13.3,8.0,Windows 10,1.2,77202.72,1080,1920,1.8,Intel,SSD,256,Intel,0
209,Notebook,15.6,8.0,Windows 10,2.2,31808.16,768,1366,2.5,Intel,SSD,256,Intel,0
210,Notebook,15.6,8.0,Linux,2.4,41505.12,1080,1920,2.8,Intel,HDD,1024,Intel,1
211,Gaming,17.3,16.0,Windows 10,2.9,74964.95999999999,1080,1920,2.8,Intel,Both,1280,Intel,1
212,Notebook,15.6,4.0,No OS,2.1,18594.72,1080,1920,2.0,Intel,HDD,500,Intel,0
213,Notebook,15.6,8.0,No OS,2.2,29250.72,1080,1920,2.5,Intel,SSD,256,Intel,0
214,Ultrabook,13.0,8.0,Windows 10,1.05,79866.72,1440,2160,2.7,Intel,SSD,512,Intel,0
215,Ultrabook,13.3,8.0,Windows 10,1.4,49650.5664,1080,1920,1.8,Intel,SSD,256,Intel,1
216,Notebook,17.3,8.0,No OS,2.8,31381.92,900,1600,2.5,Intel,HDD,1024,Intel,1
217,Notebook,14.0,8.0,Windows 10,1.63,54931.68,1080,1920,1.8,Intel,SSD,256,Intel,1
218,Ultrabook,14.0,8.0,Windows 10,1.6,61218.72,1080,1920,1.6,Intel,SSD,256,Intel,0
219,2 in 1 Convertible,13.3,16.0,Windows 10,1.62,68145.12,1080,1920,1.8,Intel,SSD,512,Intel,0
220,Notebook,15.6,8.0,Linux,2.2,36089.208,1080,1920,1.6,Intel,SSD,256,Intel,1
221,2 in 1 Convertible,14.0,8.0,Windows 10,1.74,47898.72,1080,1920,1.6,Intel,SSD,256,Intel,0
222,Ultrabook,13.3,8.0,Windows 10,1.2,72620.64,1080,1920,2.5,Intel,SSD,256,Intel,0
223,Notebook,15.6,8.0,Windows 10,2.1,42304.32,1080,1920,1.6,Intel,HDD,1024,Intel,0
224,Gaming,17.3,16.0,Windows 10,4.42,130873.7952,1080,1920,2.8,Intel,Both,1280,Intel,1
225,Notebook,15.6,8.0,Windows 10,2.2,44328.96,1080,1920,2.7,Intel,SSD,256,Intel,1
226,Notebook,15.6,16.0,Windows 10,2.3,45768.0528,1080,1920,2.7,Intel,HDD,1024,Intel,1
227,Notebook,15.6,8.0,Windows 10,2.0,40972.32,1080,1920,2.5,Intel,SSD,256,Intel,1
228,Notebook,17.3,8.0,Windows 10,2.69,47472.48,1080,1920,2.5,Intel,Both,756,Intel,1
229,Notebook,15.6,8.0,Windows 10,1.9,67612.31999999999,1080,1920,2.7,Intel,HDD,1024,Intel,1
230,Notebook,15.6,4.0,Windows 10,2.37,21258.1872,768,1366,2.4,Intel,HDD,1024,Intel,0
231,Notebook,15.6,4.0,Windows 10,2.1,17582.399999999998,768,1366,1.5,AMD,HDD,500,AMD,1
232,Gaming,15.6,16.0,Windows 10,3.2,79866.72,1080,1920,2.8,Intel,Both,1280,Intel,1
233,Notebook,14.0,8.0,Windows 10,1.6,45767.52,1080,1920,2.5,Intel,SSD,256,Intel,0
234,2 in 1 Convertible,13.3,8.0,Windows 10,1.6,36709.92,1080,1920,2.3,Intel,SSD,256,Intel,0
235,Notebook,15.6,16.0,Linux,2.36,47898.72,1080,1920,2.7,Intel,SSD,256,Intel,1
236,Notebook,15.6,4.0,Linux,2.1,20779.2,768,1366,2.0,Intel,HDD,1024,Intel,0
237,Notebook,15.6,4.0,Windows 10,2.2,30636.0,1080,1920,2.5,AMD,Both,1152,AMD,1
238,Gaming,17.3,32.0,Windows 10,4.7,207259.2,1080,1920,2.9,Intel,Both,1536,Intel,1
239,Gaming,15.6,8.0,Windows 10,2.5,45074.88,1080,1920,2.5,Intel,SSD,256,Intel,1
240,Notebook,15.6,8.0,Windows 10,2.2,31381.92,768,1366,2.0,Intel,SSD,128,Intel,0
241,Notebook,17.3,8.0,Windows 10,2.1,61005.6,1080,1920,1.8,Intel,Both,1152,Intel,1
242,Notebook,17.3,8.0,No OS,2.69,47365.92,1080,1920,2.7,Intel,Both,1152,Intel,1
