season,year,month,hour,holiday,workingday,weather,temp,feel_temp,humidity,windspeed,count
Summer,2011,January,22,No,Monday,Precipitation with Clouds,16.400000000000002,20.455000000000002,0.94,15.001299999999999,28
Summer,2011,January,23,No,Monday,Precipitation with Clouds,18.86,22.725,0.88,19.999499999999998,39
Summer,2011,January,0,No,Monday,Precipitation with Clouds,18.86,22.725,0.88,19.999499999999998,17
Summer,2011,January,1,No,Monday,Precipitation with Clouds,18.04,21.97,0.94,16.997899999999998,17
Summer,2011,January,2,No,Monday,Precipitation with Clouds,17.22,21.21,1.0,19.0012,9
Summer,2011,January,3,No,Monday,Precipitation with Clouds,18.86,22.725,0.94,12.998,6
Summer,2011,January,4,No,Monday,Precipitation with Clouds,18.86,22.725,0.94,12.998,3
Summer,2011,January,6,No,Monday,Severe Weather,17.22,21.21,0.77,19.999499999999998,2
Summer,2011,January,7,No,Monday,Precipitation with Clouds,16.400000000000002,20.455000000000002,0.76,12.998,1
Summer,2011,January,8,No,Monday,Severe Weather,16.400000000000002,20.455000000000002,0.71,15.001299999999999,8
Summer,2011,January,9,No,Monday,Precipitation with Clouds,15.58,19.695,0.76,15.001299999999999,20
Summer,2011,January,10,No,Monday,Precipitation with Clouds,14.76,17.424999999999997,0.81,15.001299999999999,53
Summer,2011,January,11,No,Monday,Precipitation with Clouds,14.76,16.665,0.71,16.997899999999998,70
Summer,2011,January,12,No,Monday,Precipitation with Clouds,14.76,16.665,0.66,19.999499999999998,93
Summer,2011,January,13,No,Monday,Precipitation with Clouds,14.76,17.424999999999997,0.66,8.9981,75
Summer,2011,January,14,No,Monday,Severe Weather,14.76,17.424999999999997,0.76,12.998,59
Summer,2011,January,15,No,Monday,Severe Weather,13.940000000000001,16.665,0.81,11.0014,74
Summer,2011,January,16,No,Monday,Severe Weather,13.940000000000001,16.665,0.71,11.0014,76
Summer,2011,January,17,No,Monday,Clear Skies,13.940000000000001,16.665,0.57,12.998,65
Summer,2011,January,18,No,Monday,Precipitation with Clouds,14.76,16.665,0.46,22.0028,53
Summer,2011,January,19,No,Monday,Clear Skies,13.120000000000001,14.395,0.42,30.002599999999997,30
Summer,2011,January,20,No,Monday,Clear Skies,12.299999999999999,13.635,0.39,23.9994,22
Summer,2011,January,21,No,Monday,Clear Skies,10.66,11.365,0.44,22.0028,31
Summer,2011,January,22,No,Monday,Clear Skies,9.84,10.605,0.44,19.999499999999998,9
Summer,2011,January,23,No,Monday,Clear Skies,9.02,11.365,0.47,11.0014,8
Summer,2011,January,0,No,Tuesday,Clear Skies,9.02,9.85,0.44,23.9994,5
Summer,2011,January,1,No,Tuesday,Clear Skies,8.200000000000001,8.334999999999999,0.44,27.999299999999998,2
Summer,2011,January,4,No,Tuesday,Clear Skies,6.5600000000000005,6.819999999999999,0.47,26.0027,1
Summer,2011,January,5,No,Tuesday,Clear Skies,6.5600000000000005,6.819999999999999,0.47,19.0012,3
Summer,2011,January,6,No,Tuesday,Clear Skies,5.74,5.305,0.5,26.0027,30
Summer,2011,January,7,No,Tuesday,Clear Skies,5.74,6.819999999999999,0.5,12.998,64
Summer,2011,January,8,No,Tuesday,Clear Skies,5.74,6.0600000000000005,0.5,19.0012,154
Summer,2011,January,9,No,Tuesday,Clear Skies,6.5600000000000005,6.819999999999999,0.43,26.0027,88
Summer,2011,January,10,No,Tuesday,Clear Skies,7.38,8.334999999999999,0.43,16.997899999999998,44
Summer,2011,January,11,No,Tuesday,Clear Skies,8.200000000000001,9.09,0.4,22.0028,51
Summer,2011,January,12,No,Tuesday,Clear Skies,9.02,10.605,0.35,19.999499999999998,61
Summer,2011,January,13,No,Tuesday,Clear Skies,9.84,10.605,0.35,19.0012,61
Summer,2011,January,14,No,Tuesday,Clear Skies,10.66,12.120000000000001,0.3,19.0012,77
Summer,2011,January,15,No,Tuesday,Clear Skies,10.66,12.120000000000001,0.3,16.997899999999998,72
Summer,2011,January,16,No,Tuesday,Clear Skies,10.66,12.120000000000001,0.3,16.997899999999998,76
Summer,2011,January,17,No,Tuesday,Clear Skies,9.84,11.365,0.3,15.001299999999999,157
Summer,2011,January,18,No,Tuesday,Clear Skies,9.84,12.879999999999999,0.32,7.0015,157
Summer,2011,January,19,No,Tuesday,Clear Skies,8.200000000000001,12.879999999999999,0.47,0.0,110
Summer,2011,January,20,No,Tuesday,Clear Skies,8.200000000000001,11.365,0.47,7.0015,52
Summer,2011,January,21,No,Tuesday,Clear Skies,7.38,9.85,0.64,8.9981,52
Summer,2011,January,22,No,Tuesday,Clear Skies,5.74,7.575,0.69,8.9981,20
Summer,2011,January,23,No,Tuesday,Clear Skies,7.38,10.605,0.55,7.0015,12
Summer,2011,January,0,No,Tuesday,Clear Skies,6.5600000000000005,9.09,0.55,7.0015,5
Summer,2011,January,1,No,Tuesday,Clear Skies,6.5600000000000005,9.09,0.59,7.0015,2
Summer,2011,January,2,No,Tuesday,Clear Skies,5.74,7.575,0.63,8.9981,1
Summer,2011,January,4,No,Tuesday,Clear Skies,5.74,9.09,0.63,6.0032,2
Summer,2011,January,5,No,Tuesday,Clear Skies,4.92,7.575,0.68,7.0015,4
Summer,2011,January,6,No,Tuesday,Clear Skies,4.92,7.575,0.74,7.0015,36
Summer,2011,January,7,No,Tuesday,Clear Skies,4.92,7.575,0.74,8.9981,94
Summer,2011,January,8,No,Tuesday,Clear Skies,5.74,7.575,0.69,11.0014,179
Summer,2011,January,9,No,Tuesday,Clear Skies,6.5600000000000005,7.575,0.64,15.001299999999999,100
Summer,2011,January,10,No,Tuesday,Precipitation with Clouds,6.5600000000000005,6.819999999999999,0.69,22.0028,42
Summer,2011,January,11,No,Tuesday,Clear Skies,9.02,10.605,0.51,19.999499999999998,57
Summer,2011,January,12,No,Tuesday,Clear Skies,9.02,11.365,0.51,11.0014,78
Summer,2011,January,13,No,Tuesday,Clear Skies,9.84,11.365,0.56,12.998,97
Summer,2011,January,14,No,Tuesday,Clear Skies,10.66,12.879999999999999,0.52,15.001299999999999,63
Summer,2011,January,15,No,Tuesday,Clear Skies,11.48,13.635,0.52,16.997899999999998,65
Summer,2011,January,16,No,Tuesday,Clear Skies,12.299999999999999,14.395,0.49,16.997899999999998,83
Summer,2011,January,17,No,Tuesday,Clear Skies,11.48,13.635,0.48,15.001299999999999,212
Summer,2011,January,18,No,Tuesday,Clear Skies,10.66,12.879999999999999,0.48,12.998,182
Summer,2011,January,19,No,Tuesday,Clear Skies,9.84,12.879999999999999,0.48,7.0015,112
Summer,2011,January,20,No,Tuesday,Clear Skies,9.84,12.879999999999999,0.48,7.0015,54
Summer,2011,January,21,No,Tuesday,Clear Skies,9.02,13.635,0.64,0.0,48
Summer,2011,January,22,No,Tuesday,Clear Skies,9.02,12.879999999999999,0.64,6.0032,35
Summer,2011,January,23,No,Tuesday,Clear Skies,8.200000000000001,11.365,0.69,6.0032,11
Summer,2011,January,0,No,Tuesday,Clear Skies,8.200000000000001,12.879999999999999,0.64,0.0,6
Summer,2011,January,1,No,Tuesday,Clear Skies,6.5600000000000005,9.85,0.74,6.0032,6
Summer,2011,January,2,No,Tuesday,Clear Skies,6.5600000000000005,9.85,0.74,6.0032,2
Summer,2011,January,4,No,Tuesday,Clear Skies,9.84,11.365,0.48,15.001299999999999,2
Summer,2011,January,5,No,Tuesday,Clear Skies,9.02,11.365,0.47,11.0014,3
Summer,2011,January,6,No,Tuesday,Clear Skies,8.200000000000001,9.85,0.47,15.001299999999999,33
Summer,2011,January,7,No,Tuesday,Clear Skies,7.38,9.09,0.43,12.998,88
Summer,2011,January,8,No,Tuesday,Clear Skies,8.200000000000001,9.09,0.4,19.999499999999998,195
Summer,2011,January,9,No,Tuesday,Clear Skies,9.02,9.85,0.37,22.0028,115
Summer,2011,January,10,No,Tuesday,Clear Skies,9.02,9.85,0.37,22.0028,57
Summer,2011,January,11,No,Tuesday,Clear Skies,10.66,11.365,0.33,22.0028,46
Summer,2011,January,12,No,Tuesday,Clear Skies,10.66,11.365,0.33,22.0028,79
Summer,2011,January,13,No,Tuesday,Clear Skies,11.48,12.879999999999999,0.3,19.999499999999998,71
Summer,2011,January,14,No,Tuesday,Clear Skies,12.299999999999999,14.395,0.28,12.998,62
Summer,2011,January,15,No,Tuesday,Clear Skies,12.299999999999999,14.395,0.28,12.998,62
Summer,2011,January,16,No,Tuesday,Clear Skies,12.299999999999999,15.909999999999998,0.28,6.0032,89
Summer,2011,January,17,No,Tuesday,Clear Skies,9.84,11.365,0.38,12.998,190
Summer,2011,January,18,No,Tuesday,Clear Skies,9.84,12.120000000000001,0.38,8.9981,169
Summer,2011,January,19,No,Tuesday,Clear Skies,9.84,12.879999999999999,0.38,7.0015,132
Summer,2011,January,20,No,Tuesday,Clear Skies,9.02,11.365,0.47,11.0014,89
Summer,2011,January,21,No,Tuesday,Clear Skies,8.200000000000001,9.85,0.51,12.998,43
Summer,2011,January,22,No,Tuesday,Clear Skies,7.38,9.85,0.55,8.9981,42
Summer,2011,January,23,No,Tuesday,Clear Skies,8.200000000000001,12.879999999999999,0.47,0.0,19
Summer,2011,January,0,No,Tuesday,Clear Skies,7.38,12.120000000000001,0.55,0.0,11
Summer,2011,January,1,No,Tuesday,Clear Skies,6.5600000000000005,11.365,0.64,0.0,4
Summer,2011,January,2,No,Tuesday,Clear Skies,6.5600000000000005,11.365,0.64,0.0,2
Summer,2011,January,4,No,Tuesday,Precipitation with Clouds,6.5600000000000005,9.85,0.64,6.0032,1
Summer,2011,January,5,No,Tuesday,Precipitation with Clouds,5.74,9.09,0.69,6.0032,4
Summer,2011,January,6,No,Tuesday,Precipitation with Clouds,5.74,8.334999999999999,0.63,7.0015,36
Summer,2011,January,7,No,Tuesday,Precipitation with Clouds,6.5600000000000005,11.365,0.59,0.0,95
Summer,2011,January,8,No,Tuesday,Clear Skies,6.5600000000000005,11.365,0.59,0.0,219
Summer,2011,January,9,No,Tuesday,Precipitation with Clouds,7.38,12.120000000000001,0.51,0.0,122
Summer,2011,January,10,No,Tuesday,Clear Skies,8.200000000000001,12.879999999999999,0.47,0.0,45
Summer,2011,January,11,No,Tuesday,Clear Skies,9.02,12.879999999999999,0.44,6.0032,59
Summer,2011,January,12,No,Tuesday,Clear Skies,10.66,14.395,0.35,0.0,84
Summer,2011,January,13,No,Tuesday,Clear Skies,10.66,13.635,0.35,7.0015,67
Summer,2011,January,14,No,Tuesday,Clear Skies,11.48,13.635,0.36,11.0014,70
Summer,2011,January,15,No,Tuesday,Clear Skies,11.48,13.635,0.36,0.0,62
Summer,2011,January,16,No,Tuesday,Clear Skies,10.66,12.879999999999999,0.38,11.0014,86
Summer,2011,January,17,No,Tuesday,Clear Skies,9.02,11.365,0.51,11.0014,172
Summer,2011,January,18,No,Tuesday,Clear Skies,9.02,11.365,0.51,8.9981,163
Summer,2011,January,19,No,Tuesday,Clear Skies,9.02,12.879999999999999,0.55,6.0032,112
Summer,2011,January,20,No,Tuesday,Clear Skies,8.200000000000001,10.605,0.51,11.0014,69
Summer,2011,January,21,No,Tuesday,Precipitation with Clouds,9.02,10.605,0.55,15.001299999999999,48
Summer,2011,January,22,No,Tuesday,Precipitation with Clouds,9.02,10.605,0.51,19.0012,52
Summer,2011,January,23,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.59,12.998,23
Summer,2011,January,0,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.64,12.998,17
Summer,2011,January,1,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.69,15.001299999999999,7
Summer,2011,January,2,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.69,15.001299999999999,1
Summer,2011,January,4,No,Tuesday,Precipitation with Clouds,8.200000000000001,10.605,0.69,8.9981,1
Summer,2011,January,5,No,Tuesday,Severe Weather,9.02,13.635,0.55,0.0,5
Summer,2011,January,6,No,Tuesday,Precipitation with Clouds,8.200000000000001,12.879999999999999,0.69,0.0,34
Summer,2011,January,7,No,Tuesday,Clear Skies,8.200000000000001,10.605,0.69,8.9981,84
Summer,2011,January,8,No,Tuesday,Clear Skies,8.200000000000001,9.85,0.51,16.997899999999998,210
Summer,2011,January,9,No,Tuesday,Clear Skies,8.200000000000001,9.09,0.47,19.999499999999998,134
Summer,2011,January,10,No,Tuesday,Clear Skies,9.02,9.85,0.37,22.0028,63
Summer,2011,January,11,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.4,15.001299999999999,67
Summer,2011,January,12,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.37,16.997899999999998,59
Summer,2011,January,13,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.09,0.37,19.0012,73
Summer,2011,January,14,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.4,16.997899999999998,50
Summer,2011,January,15,No,Tuesday,Precipitation with Clouds,8.200000000000001,10.605,0.37,11.0014,72
Summer,2011,January,16,No,Tuesday,Precipitation with Clouds,8.200000000000001,10.605,0.37,11.0014,87
Summer,2011,January,17,No,Tuesday,Precipitation with Clouds,8.200000000000001,12.879999999999999,0.37,0.0,187
Summer,2011,January,18,No,Tuesday,Clear Skies,8.200000000000001,11.365,0.4,6.0032,123
Summer,2011,January,19,No,Tuesday,Clear Skies,6.5600000000000005,9.85,0.55,6.0032,95
Summer,2011,January,20,No,Tuesday,Clear Skies,7.38,10.605,0.47,7.0015,51
Summer,2011,January,21,No,Tuesday,Clear Skies,7.38,9.85,0.47,8.9981,39
Summer,2011,January,22,No,Tuesday,Precipitation with Clouds,7.38,9.85,0.43,11.0014,36
Summer,2011,January,23,No,Tuesday,Precipitation with Clouds,7.38,9.85,0.51,11.0014,15
Summer,2011,January,0,No,Monday,Precipitation with Clouds,7.38,9.85,0.51,11.0014,25
Summer,2011,January,1,No,Monday,Precipitation with Clouds,7.38,10.605,0.55,6.0032,16
Summer,2011,January,2,No,Monday,Precipitation with Clouds,7.38,12.120000000000001,0.55,0.0,16
Summer,2011,January,3,No,Monday,Severe Weather,7.38,9.85,0.55,11.0014,7
Summer,2011,January,4,No,Monday,Severe Weather,7.38,9.85,0.55,11.0014,1
Summer,2011,January,5,No,Monday,Precipitation with Clouds,6.5600000000000005,8.334999999999999,0.74,11.0014,5
Summer,2011,January,6,No,Monday,Precipitation with Clouds,6.5600000000000005,8.334999999999999,0.74,11.0014,2
Summer,2011,January,7,No,Monday,Precipitation with Clouds,6.5600000000000005,9.09,0.74,7.0015,9
Summer,2011,January,8,No,Monday,Severe Weather,6.5600000000000005,9.09,0.93,7.0015,15
Summer,2011,January,9,No,Monday,Severe Weather,6.5600000000000005,9.09,0.93,7.0015,20
Summer,2011,January,10,No,Monday,Precipitation with Clouds,7.38,9.85,0.8,11.0014,61
Summer,2011,January,11,No,Monday,Precipitation with Clouds,8.200000000000001,9.09,0.69,26.0027,62
Summer,2011,January,12,No,Monday,Precipitation with Clouds,8.200000000000001,9.09,0.59,23.9994,98
Summer,2011,January,13,No,Monday,Clear Skies,8.200000000000001,9.09,0.44,22.0028,102
Summer,2011,January,14,No,Monday,Clear Skies,8.200000000000001,8.334999999999999,0.32,32.9975,95
Summer,2011,January,15,No,Monday,Clear Skies,8.200000000000001,8.334999999999999,0.32,30.002599999999997,74
Summer,2011,January,16,No,Monday,Clear Skies,7.38,6.819999999999999,0.29,30.002599999999997,76
Summer,2011,January,17,No,Monday,Clear Skies,6.5600000000000005,6.0600000000000005,0.37,36.9974,69
Summer,2011,January,18,No,Monday,Clear Skies,5.74,6.0600000000000005,0.39,19.999499999999998,55
Summer,2011,January,19,No,Monday,Clear Skies,5.74,6.0600000000000005,0.36,16.997899999999998,30
Summer,2011,January,20,No,Monday,Clear Skies,4.92,6.0600000000000005,0.36,16.997899999999998,28
Summer,2011,January,21,No,Monday,Clear Skies,4.92,5.305,0.39,23.9994,37
Summer,2011,January,22,No,Monday,Clear Skies,4.92,5.305,0.36,26.0027,34
Summer,2011,January,23,No,Monday,Clear Skies,4.1000000000000005,3.0300000000000002,0.39,30.002599999999997,22
Summer,2011,January,0,No,Monday,Clear Skies,4.1000000000000005,3.7900000000000005,0.42,26.0027,25
Summer,2011,January,1,No,Monday,Clear Skies,4.1000000000000005,3.0300000000000002,0.42,31.0009,12
Summer,2011,January,2,No,Monday,Clear Skies,4.1000000000000005,3.0300000000000002,0.46,31.0009,11
Summer,2011,January,3,No,Monday,Clear Skies,4.1000000000000005,3.7900000000000005,0.46,27.999299999999998,4
Summer,2011,January,4,No,Monday,Clear Skies,3.2800000000000002,4.545,0.53,12.998,1
Summer,2011,January,5,No,Monday,Clear Skies,3.2800000000000002,4.545,0.53,12.998,1
Summer,2011,January,6,No,Monday,Clear Skies,4.1000000000000005,4.545,0.49,19.0012,1
Summer,2011,January,7,No,Monday,Clear Skies,3.2800000000000002,4.545,0.53,12.998,6
Summer,2011,January,8,No,Monday,Clear Skies,4.1000000000000005,4.545,0.49,19.0012,10
Summer,2011,January,9,No,Monday,Clear Skies,4.92,3.7900000000000005,0.46,35.0008,19
Summer,2011,January,10,No,Monday,Clear Skies,5.74,5.305,0.43,26.0027,49
Summer,2011,January,11,No,Monday,Clear Skies,6.5600000000000005,6.0600000000000005,0.4,35.0008,49
Summer,2011,January,12,No,Monday,Clear Skies,7.38,6.819999999999999,0.37,30.002599999999997,83
Summer,2011,January,13,No,Monday,Clear Skies,8.200000000000001,8.334999999999999,0.34,30.002599999999997,75
Summer,2011,January,14,No,Monday,Clear Skies,9.02,9.09,0.32,31.0009,72
Summer,2011,January,15,No,Monday,Clear Skies,9.02,9.85,0.35,23.9994,82
Summer,2011,January,16,No,Monday,Clear Skies,8.200000000000001,8.334999999999999,0.34,30.002599999999997,92
Summer,2011,January,17,No,Monday,Clear Skies,7.38,7.575,0.37,26.0027,62
Summer,2011,January,18,No,Monday,Clear Skies,6.5600000000000005,6.819999999999999,0.4,22.0028,48
Summer,2011,January,19,No,Monday,Clear Skies,6.5600000000000005,6.819999999999999,0.43,22.0028,41
Summer,2011,January,20,No,Monday,Clear Skies,5.74,6.0600000000000005,0.46,16.997899999999998,38
Summer,2011,January,21,No,Monday,Clear Skies,5.74,5.305,0.46,27.999299999999998,20
Summer,2011,January,22,No,Monday,Clear Skies,5.74,6.0600000000000005,0.46,19.999499999999998,15
Summer,2011,January,23,No,Monday,Clear Skies,4.92,6.819999999999999,0.5,12.998,6
Summer,2011,January,0,No,Tuesday,Clear Skies,4.92,6.0600000000000005,0.5,19.0012,5
Summer,2011,January,1,No,Tuesday,Clear Skies,4.92,6.0600000000000005,0.5,19.0012,1
Summer,2011,January,2,No,Tuesday,Clear Skies,4.92,6.0600000000000005,0.5,15.001299999999999,3
Summer,2011,January,3,No,Tuesday,Clear Skies,4.92,6.0600000000000005,0.5,15.001299999999999,1
Summer,2011,January,4,No,Tuesday,Clear Skies,4.1000000000000005,6.0600000000000005,0.54,8.9981,3
Summer,2011,January,5,No,Tuesday,Clear Skies,4.1000000000000005,5.305,0.54,16.997899999999998,3
Summer,2011,January,6,No,Tuesday,Clear Skies,4.92,6.0600000000000005,0.5,19.0012,31
Summer,2011,January,7,No,Tuesday,Clear Skies,4.92,6.0600000000000005,0.5,15.001299999999999,77
Summer,2011,January,8,No,Tuesday,Precipitation with Clouds,4.92,6.0600000000000005,0.5,19.0012,188
Summer,2011,January,9,No,Tuesday,Precipitation with Clouds,5.74,6.0600000000000005,0.5,16.997899999999998,94
Summer,2011,January,10,No,Tuesday,Precipitation with Clouds,5.74,6.0600000000000005,0.5,19.999499999999998,31
Summer,2011,January,11,No,Tuesday,Precipitation with Clouds,6.5600000000000005,6.819999999999999,0.47,19.0012,30
Summer,2011,January,12,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.09,0.4,19.0012,52
Summer,2011,January,13,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.09,0.4,19.0012,54
Summer,2011,January,14,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.4,15.001299999999999,47
Summer,2011,January,15,No,Tuesday,Precipitation with Clouds,8.200000000000001,9.85,0.4,15.001299999999999,45
Summer,2011,January,16,No,Tuesday,Clear Skies,8.200000000000001,10.605,0.4,8.9981,74
Summer,2011,January,17,No,Tuesday,Clear Skies,8.200000000000001,11.365,0.4,7.0015,178
Summer,2011,January,18,No,Tuesday,Clear Skies,8.200000000000001,9.85,0.4,15.001299999999999,155
Summer,2011,January,19,No,Tuesday,Clear Skies,6.5600000000000005,8.334999999999999,0.47,11.0014,95
Summer,2011,January,20,No,Tuesday,Clear Skies,6.5600000000000005,8.334999999999999,0.5,11.0014,74
Summer,2011,January,21,No,Tuesday,Clear Skies,5.74,6.819999999999999,0.59,12.998,38
Summer,2011,January,22,No,Tuesday,Clear Skies,5.74,7.575,0.59,11.0014,24
Summer,2011,January,23,No,Tuesday,Clear Skies,5.74,7.575,0.59,11.0014,18
Summer,2011,January,0,No,Tuesday,Clear Skies,5.74,8.334999999999999,0.59,7.0015,12
Summer,2011,January,1,No,Tuesday,Clear Skies,5.74,7.575,0.59,11.0014,3
Summer,2011,January,2,No,Tuesday,Precipitation with Clouds,6.5600000000000005,7.575,0.55,12.998,3
Summer,2011,January,5,No,Tuesday,Precipitation with Clouds,6.5600000000000005,9.09,0.55,8.9981,6
Summer,2011,January,6,No,Tuesday,Precipitation with Clouds,6.5600000000000005,9.09,0.55,8.9981,27
Summer,2011,January,7,No,Tuesday,Precipitation with Clouds,6.5600000000000005,11.365,0.55,0.0,99
Summer,2011,January,8,No,Tuesday,Precipitation with Clouds,7.38,10.605,0.51,6.0032,217
Summer,2011,January,9,No,Tuesday,Precipitation with Clouds,7.38,9.85,0.51,11.0014,130
Summer,2011,January,10,No,Tuesday,Precipitation with Clouds,8.200000000000001,10.605,0.51,11.0014,54
Summer,2011,January,11,No,Tuesday,Precipitation with Clouds,8.200000000000001,10.605,0.47,8.9981,35
Summer,2011,January,12,No,Tuesday,Precipitation with Clouds,8.200000000000001,11.365,0.51,7.0015,57
Summer,2011,January,13,No,Tuesday,Precipitation with Clouds,8.200000000000001,11.365,0.59,6.0032,52
Summer,2011,January,14,No,Tuesday,Precipitation with Clouds,8.200000000000001,11.365,0.59,6.0032,63
Summer,2011,January,15,No,Tuesday,Precipitation with Clouds,6.5600000000000005,9.85,0.8,6.0032,47
Summer,2011,January,16,No,Tuesday,Precipitation with Clouds,6.5600000000000005,7.575,0.86,15.001299999999999,76
Summer,2011,January,17,No,Tuesday,Precipitation with Clouds,6.5600000000000005,7.575,0.86,15.001299999999999,136
Summer,2011,January,18,No,Tuesday,Severe Weather,6.5600000000000005,9.09,0.93,7.0015,95
Summer,2011,January,19,No,Tuesday,Severe Weather,6.5600000000000005,11.365,0.93,0.0,51
Summer,2011,January,20,No,Tuesday,Severe Weather,6.5600000000000005,7.575,0.93,12.998,32
Summer,2011,January,21,No,Tuesday,Severe Weather,6.5600000000000005,9.85,0.86,6.0032,20
Summer,2011,January,22,No,Tuesday,Severe Weather,6.5600000000000005,9.09,0.93,7.0015,29
Summer,2011,January,23,No,Tuesday,Severe Weather,6.5600000000000005,9.85,0.93,6.0032,19
Summer,2011,January,0,No,Tuesday,Precipitation with Clouds,6.5600000000000005,9.85,0.86,6.0032,7
Summer,2011,January,1,No,Tuesday,Precipitation with Clouds,6.5600000000000005,9.09,0.86,7.0015,6
Summer,2011,January,2,No,Tuesday,Clear Skies,5.74,7.575,0.86,8.9981,1
Summer,2011,January,5,No,Tuesday,Clear Skies,5.74,7.575,0.86,11.0014,5
Summer,2011,January,6,No,Tuesday,Clear Skies,4.92,7.575,0.93,8.9981,16
Summer,2011,January,7,No,Tuesday,Clear Skies,5.74,7.575,0.69,8.9981,54
Summer,2011,January,8,No,Tuesday,Clear Skies,6.5600000000000005,8.334999999999999,0.59,11.0014,128
Summer,2011,January,9,No,Tuesday,Clear Skies,6.5600000000000005,6.819999999999999,0.59,22.0028,81
Summer,2011,January,10,No,Tuesday,Clear Skies,7.38,9.09,0.55,15.001299999999999,39
Summer,2011,January,11,No,Tuesday,Clear Skies,8.200000000000001,9.09,0.51,26.0027,35
Summer,2011,January,12,No,Tuesday,Clear Skies,8.200000000000001,7.575,0.47,39.000699999999995,55
Summer,2011,January,13,No,Tuesday,Clear Skies,9.02,9.85,0.44,23.9994,49
Summer,2011,January,14,No,Tuesday,Clear Skies,8.200000000000001,9.09,0.47,22.0028,44
Summer,2011,January,15,No,Tuesday,Clear Skies,8.200000000000001,8.334999999999999,0.47,27.999299999999998,49
Summer,2011,January,16,No,Tuesday,Clear Skies,9.02,9.85,0.44,22.0028,68
Summer,2011,January,17,No,Tuesday,Clear Skies,8.200000000000001,9.09,0.47,23.9994,139
Summer,2011,January,18,No,Tuesday,Clear Skies,8.200000000000001,7.575,0.47,35.0008,137
Summer,2011,January,19,No,Tuesday,Clear Skies,7.38,7.575,0.47,27.999299999999998,83
Summer,2011,January,20,No,Tuesday,Clear Skies,6.5600000000000005,6.819999999999999,0.5,22.0028,56
Summer,2011,January,21,No,Tuesday,Clear Skies,6.5600000000000005,6.819999999999999,0.55,22.0028,57
Summer,2011,January,22,No,Tuesday,Clear Skies,6.5600000000000005,6.0600000000000005,0.55,30.002599999999997,33
Summer,2011,January,23,No,Tuesday,Clear Skies,5.74,5.305,0.59,27.999299999999998,20
Summer,2011,January,0,No,Tuesday,Clear Skies,5.74,6.0600000000000005,0.59,19.0012,7
Summer,2011,January,1,No,Tuesday,Clear Skies,5.74,6.0600000000000005,0.5,19.0012,2
Summer,2011,January,2,No,Tuesday,Clear Skies,5.74,6.0600000000000005,0.5,23.9994,2
Summer,2011,January,3,No,Tuesday,Clear Skies,5.74,6.0600000000000005,0.5,22.0028,3
