mal_id,mal_id_recomm,votes
3220,22161,1
3220,2981,1
3220,4084,1
3220,38017,1
3220,9756,1
3220,11447,1
3220,601,1
3220,33,1
3220,875,1
3220,3038,1
501,6509,2
501,5223,1
501,5618,1
2406,951,1
2406,6149,1
2406,6625,1
6868,589,1
39075,29103,1
2406,951,1
2406,6149,1
2406,6625,1
1661,20899,1
1661,4905,1
1661,2252,1
1661,1818,1
1661,18679,1
1661,889,1
1661,3388,1
311,949,4
311,795,3
311,27989,1
311,4339,1
311,506,1
311,22,1
311,3081,1
311,21185,1
311,2402,1
2406,951,1
2406,6149,1
2406,6625,1
4810,2389,1
4810,4439,1
4810,967,1
4810,35120,1
4810,5052,1
4810,4808,1
1337,35075,1
1337,24663,1
1337,24471,1
1337,20431,1
7479,36028,1
2225,283,5
2225,2800,3
2225,2553,2
2225,3162,2
2225,512,2
2225,22359,2
2225,2150,1
2225,3822,1
2225,5420,1
2225,39808,1
2225,5494,1
2225,2554,1
2225,8176,1
2225,2828,1
2225,2546,1
2225,8777,1
2225,2931,1
2406,951,1
2406,6149,1
2406,6625,1
7257,885,1
7257,16067,1
7028,36747,1
7028,5873,1
8494,1973,1
34815,3043,1
3579,2200,1
3579,48649,1
3579,2001,1
3579,4574,1
3579,2253,1
3579,4198,1
3579,3361,1
2406,951,1
2406,6149,1
2406,6625,1
6383,9342,2
6383,36632,1
6383,3044,1
6383,11867,1
6383,16774,1
6383,1200,1
6383,413,1
2836,2150,1
2836,21,1
2836,8240,1
2836,2825,1
3388,1661,1
3388,1642,1
2406,951,1
2406,6149,1
2406,6625,1
3720,513,1
3720,9045,1
1650,1081,1
1650,2203,1
1650,80,1
1650,5763,1
1650,1000,1
1650,1458,1
1650,3907,1
1650,1088,1
1650,569,1
1650,2402,1
2406,951,1
2406,6149,1
2406,6625,1
4808,4439,1
4808,2389,1
4808,32182,1
4808,3735,1
4808,4810,1
8763,8240,1
2406,951,1
2406,6149,1
2406,6625,1
2553,2225,2
2553,7877,1
2553,2761,1
2553,2555,1
2553,2800,1
2553,750,1
3043,2029,2
3043,3755,1
3043,34792,1
3043,6129,1
3043,2783,1
3043,9756,1
3043,34815,1
3043,885,1
3043,3751,1
3043,3847,1
3043,3186,1
4250,413,1
22157,22255,1
22157,1,1
29984,21511,1
10282,39119,1
10282,33335,1
30329,35402,1
25093,9951,1
2571,3858,3
2571,28245,1
2571,5276,1
2571,34754,1
2571,19909,1
2571,8140,1
2571,2150,1
2571,3624,1
2571,749,1
2406,951,1
2406,6149,1
2406,6625,1
5267,589,2
5267,1537,1
5267,16498,1
5267,30920,1
3054,338,1
36354,37192,1
2406,951,1
2406,6149,1
2406,6625,1
1458,2389,1
1458,1650,1
21831,22255,1
1985,4042,1
1985,4198,1
1985,1069,1
2406,951,1
2406,6149,1
2406,6625,1
2825,22097,1
2825,7786,1
2825,14513,1
2825,2836,1
2825,5935,1
4198,1985,1
4198,3579,1
4198,2253,1
4935,40280,1
3822,2225,1
8240,8763,1
8240,2836,1
7398,33349,1
7398,6262,1
7398,4060,1
1663,283,2
1663,2828,2
1663,578,1
1663,757,1
1663,3424,1
2406,951,1
2406,6149,1
2406,6625,1
2545,2577,1
6680,7169,3
6680,16664,1
6680,7171,1
29791,30074,1
36808,36400,1
2406,951,1
2406,6149,1
2406,6625,1
1068,1448,1
1068,1069,1
956,2252,1
956,1845,1
3361,10224,1
3361,3579,1
30074,39331,2
30074,29791,1
2406,951,1
2406,6149,1
2406,6625,1
10763,2253,1
39119,10282,1
2800,1946,3
2800,2225,3
2800,2542,2
2800,2799,2
2800,1974,1
2800,33352,1
2800,2405,1
2800,3196,1
2800,877,1
2800,2553,1
2800,1375,1
2800,2547,1
2800,2230,1
2800,506,1
2800,2828,1
2800,283,1
2406,951,1
2406,6149,1
2406,6625,1
6262,4389,1
6262,7216,1
6262,9951,1
6262,30029,1
6262,4024,1
6262,2578,1
6262,7398,1
6262,7779,1
6262,33349,1
6262,4060,1
3825,5834,1
4013,3008,1
2406,951,1
2406,6149,1
2406,6625,1
3008,3305,1
3008,4013,1
3847,3186,2
3847,3043,1
11561,10629,1
29629,5299,1
29629,28761,1
9279,55218,1
9279,2199,1
9279,7771,1
18007,52766,1
2406,951,1
2406,6149,1
2406,6625,1
4339,311,1
8375,3252,1
2406,951,1
2406,6149,1
2406,6625,1
1069,3305,1
1069,1985,1
1069,1448,1
1069,338,1
1069,2816,1
1069,1068,1
711,2202,1
4514,3137,1
7771,40695,1
7771,34868,1
7771,9279,1
1425,1470,2
1425,20057,2
1425,2451,2
1425,4039,1
1425,1281,1
1425,210,1
1425,2203,1
1425,301,1
1425,2933,1
1425,21,1
1425,142,1
1425,2043,1
2828,2549,3
2828,2559,2
2828,1663,2
2828,2618,2
2828,32673,1
2828,2227,1
2828,885,1
2828,283,1
2828,1946,1
2828,2623,1
2828,2225,1
2828,338,1
2828,2800,1
2828,2624,1
2828,3877,1
2828,2829,1
2406,951,1
2406,6149,1
2406,6625,1
2200,930,2
2200,3579,1
2200,80,1
2200,3305,1
2200,2001,1
3196,2800,1
3800,6055,1
3827,2986,1
3827,4999,1
20125,1445,1
24861,10586,1
2199,37521,7
2199,1961,6
2199,2428,2
2199,2427,2
2199,2623,2
2199,1292,2
2199,578,2
2199,9204,1
2199,22319,1
2199,307,1
2199,9279,1
2199,12917,1
2199,17689,1
2199,31471,1
2199,31150,1
2199,2429,1
2199,9756,1
2199,39195,1
2199,2264,1
2199,3701,1
2199,1441,1
2199,1130,1
2199,11266,1
2406,951,1
2406,6149,1
2406,6625,1
2549,2828,3
2549,3877,1
2549,2555,1
2549,2547,1
2549,3424,1
3755,3043,1
3755,2783,1
7117,1824,3
302,160,8
302,513,7
302,1251,3
302,80,2
302,40834,1
302,2254,1
302,2618,1
302,572,1
302,177,1
302,32888,1
302,3327,1
302,95,1
302,5420,1
302,34712,1
302,565,1
302,708,1
302,1140,1
302,455,1
302,757,1
302,522,1
302,34541,1
302,16524,1
302,1169,1
1000,589,1
1000,129,1
1000,1520,1
1000,1651,1
1000,5133,1
1000,2451,1
1000,1548,1
1000,12029,1
1000,930,1
1000,2213,1
1000,2001,1
1000,21,1
1000,1650,1
1000,2019,1
2406,951,1
2406,6149,1
2406,6625,1
2816,30,1
2816,1069,1
2816,1236,1
1236,338,1
1236,2331,1
1236,1088,1
1236,2816,1
2406,951,1
2406,6149,1
2406,6625,1
3335,20541,1
3335,45055,1
3335,3807,1
3335,554,1
3335,5141,1
3335,13673,1
3067,2761,1
3067,1301,1
3305,3008,1
3305,6,1
3305,567,1
3305,1069,1
3305,2200,1
3305,2254,1
3305,1792,1
5133,1435,1
5133,1000,1
10224,3361,1
6202,589,1
6202,10629,1
1491,486,5
1491,2717,1
1491,1548,1
1491,2230,1
1491,26,1
1491,2402,1
1491,4981,1
1491,42192,1
1491,3631,1
1491,2213,1
1491,457,1
1491,12029,1
1491,1441,1
1491,1,1
1491,177,1
1491,3701,1
2618,2828,2
2618,1145,1
2618,21,1
2618,2402,1
2618,302,1
2618,36028,1
2618,1279,1
2618,3327,1
2618,239,1
2618,1466,1
2618,2451,1
1435,30,1
1435,5133,1
1435,3640,1
1435,47,1
1435,2901,1
1651,1000,1
1651,820,1
2406,951,1
2406,6149,1
2406,6625,1
2561,2331,1
2561,731,1
2561,2451,1
283,2225,5
283,1663,2
283,2548,2
283,35062,1
283,30123,1
283,95,1
283,1375,1
283,2828,1
283,33352,1
283,1695,1
283,232,1
283,2554,1
283,5494,1
283,2800,1
283,3162,1
283,1946,1
283,1878,1
2406,951,1
2406,6149,1
2406,6625,1
2230,7645,1
2230,1491,1
2230,2800,1
9547,17549,1
9547,12355,1
9547,7711,1
9547,199,1
1208,1044,1
1208,9951,1
1208,315,1
1208,2751,1
16802,16778,1
7376,2572,1
8777,2225,1
34929,34930,2
34929,54313,1
80,30,6
80,2582,3
80,820,3
80,2257,3
80,22729,3
80,1575,3
80,865,2
80,237,2
80,930,2
80,302,2
80,1088,2
80,2253,2
80,93,1
80,16498,1
80,6772,1
80,3060,1
80,35849,1
80,1650,1
80,36267,1
80,4242,1
80,14719,1
80,23325,1
80,40964,1
80,34866,1
80,21437,1
80,1254,1
80,516,1
80,290,1
80,3653,1
80,1459,1
80,16668,1
80,2200,1
80,8436,1
80,3079,1
80,603,1
80,949,1
2471,4936,5
2471,6509,3
2471,34012,2
2471,2222,1
2471,2736,1
2471,19261,1
2471,3638,1
2471,5274,1
2471,2907,1
2471,516,1
2471,32353,1
2471,3077,1
2471,1199,1
2471,6303,1
2471,31174,1
2471,2281,1
2471,41930,1
2406,951,1
2406,6149,1
2406,6625,1
3444,598,1
3444,354,1
4411,2484,1
2428,2199,2
4515,5276,1
3879,338,1
5935,2825,1
8783,6855,1
1301,522,2
1301,1793,2
1301,8142,2
1301,3905,1
1301,2420,1
1301,1016,1
1301,3067,1
1301,1490,1
1301,13601,1
1301,1901,1
1301,3258,1
1301,1349,1
1301,11755,1
1301,1441,1
2406,951,1
2406,6149,1
2406,6625,1
313,949,2
313,506,1
3175,4941,1
4907,35674,1
4907,34813,1
4907,2639,1
1430,513,5
1430,1,2
1430,6172,2
1430,1921,1
1430,464,1
1430,14719,1
1430,1972,1
1430,33337,1
1430,3673,1
1430,2251,1
1430,25383,1
338,440,16
338,820,10
338,1013,7
338,33,5
338,795,4
338,3024,3
338,5835,1
338,578,1
338,25013,1
338,31646,1
338,13125,1
338,3879,1
338,2542,1
338,42892,1
338,16498,1
338,43691,1
338,37539,1
338,1236,1
338,32379,1
338,3054,1
338,1069,1
338,2828,1
338,1695,1
338,1699,1
338,5420,1
338,1538,1
338,1637,1
338,33337,1
338,2333,1
338,153,1
2406,951,1
2406,6149,1
2406,6625,1
7170,7171,1
7170,7169,1
7170,6547,1
7170,2476,1
5763,1650,1
5763,7144,1
5091,45,1
5091,20,1
3877,2549,1
3877,1946,1
3877,2828,1
20587,1375,1
2577,2545,1
2406,951,1
2406,6149,1
2406,6625,1
2151,3836,1
2151,486,1
3751,3043,1
3810,2150,1
3810,36094,1
3810,22359,1
3810,7711,1
3810,3162,1
4536,2916,1
34930,34929,2
16506,6953,1
16506,5873,1
16506,4475,1
930,30,3
930,80,2
930,2200,2
930,1690,1
930,3060,1
930,85,1
930,9756,1
930,593,1
930,89,1
930,1000,1
930,1088,1
930,171,1
2560,522,1
2560,3060,1
2560,3522,1
2560,1090,1
2560,13125,1
2560,544,1
2560,2056,1
2406,951,1
2406,6149,1
2406,6625,1
3137,4514,1
4933,2158,1
4680,2605,1
2406,951,1
2406,6149,1
2406,6625,1
3801,4853,1
3801,6978,1
3801,7724,1
3213,263,1
3213,2402,1
5862,11799,1
2921,263,2
2921,1,2
2921,26,1
2921,2050,1
2921,40729,1
2921,22135,1
2921,49387,1
3044,6383,1
3044,2429,1
3044,1221,1
2406,951,1
2406,6149,1
2406,6625,1
1090,2759,2
1090,1089,2
1090,30,2
1090,2582,1
1090,820,1
1090,2760,1
1090,2560,1
1090,34438,1
1090,237,1
1090,2722,1
1090,949,1
1090,3016,1
1090,4654,1
2406,951,1
2406,6149,1
2406,6625,1
2544,2548,1
2544,39456,1
2544,709,1
2621,1637,4
2621,3220,1
2427,2199,2
2427,9204,1
2427,55218,1
2427,3201,1
2427,315,1
2427,721,1
2427,1207,1
2427,1280,1
3186,3847,2
3186,721,2
3186,3043,1
9951,45607,1
9951,25093,1
9951,6262,1
9951,1208,1
4074,5936,2
4074,589,2
4074,10629,1
4074,915,1
4574,3579,1
5581,1251,1
2222,1293,2
2222,6509,1
2222,6727,1
2222,22827,1
2222,3837,1
2222,918,1
2222,31636,1
2222,2471,1
1448,1,1
1448,3486,1
1448,3609,1
1448,1264,1
1448,2361,1
1448,1069,1
1448,5891,1
1448,1068,1
2406,951,1
2406,6149,1
2406,6625,1
5832,3272,1
2799,2800,2
2799,42544,1
2799,1946,1
1548,1491,1
1548,1000,1
3946,2004,2
3946,9348,1
3946,1485,1
3946,3947,1
3946,415,1
3946,37682,1
3836,2554,1
3836,2151,1
6727,2222,1
1091,3784,1
1091,3079,1
2724,785,2
2724,227,2
2724,7273,1
2724,42984,1
2724,949,1
2724,212,1
2724,11087,1
2406,951,1
2406,6149,1
2406,6625,1
2029,4943,3
2029,2890,2
2029,3043,2
2029,345,1
2029,1699,1
2922,12069,1
2922,22135,1
2922,6114,1
2922,265,1
2922,263,1
2922,5258,1
2510,2361,1
6978,3801,1
6978,24045,1
8598,8487,1
8598,164,1
8598,1587,1
9991,4088,1
18759,27837,1
1293,3455,10
1293,210,6
1293,1453,4
1293,940,3
1293,3332,3
1293,1087,3
1293,11785,2
1293,33206,2
1293,918,2
1293,3597,2
1293,2222,2
1293,2104,2
1293,2084,1
1293,516,1
1293,33255,1
1293,9181,1
1293,8687,1
1293,3136,1
1293,50,1
1293,1470,1
1293,840,1
1293,1288,1
1293,3125,1
1293,9496,1
1293,249,1
1293,9513,1
1293,3021,1
1293,1940,1
1293,1275,1
1293,539,1
1293,24,1
1293,5958,1
1293,103,1
1293,29785,1
4936,2471,5
4936,8687,1
4936,1199,1
4936,6303,1
2406,951,1
2406,6149,1
2406,6625,1
2257,80,3
2257,820,3
2257,81,2
2257,1575,1
2257,1096,1
2257,3079,1
2257,2582,1
2257,237,1
2331,2561,1
2331,2451,1
2331,1279,1
2331,1236,1
2748,853,1
2748,1186,1
2748,2034,1
2748,714,1
2748,406,1
2748,253,1
2748,66,1
2748,170,1
2748,189,1
2748,21,1
3391,38397,1
3761,2333,1
3761,2579,1
3399,3079,1
4240,1412,2
4240,1470,1
2882,3075,1
5742,13249,1
4371,2511,1
3947,36296,1
3947,3946,1
22427,31874,1
1092,3785,1
1092,1089,1
1049,4943,3
1049,9957,1
1049,27989,1
1049,1203,1
1049,57,1
1049,2594,1
1049,1579,1
2406,951,1
2406,6149,1
2406,6625,1
2254,302,1
2254,92,1
2254,2001,1
2254,3305,1
2254,411,1
2254,1792,1
1549,2761,1
6629,966,1
6629,293,1
31259,31263,1
1279,1251,4
1279,2819,1
1279,39020,1
1279,14513,1
1279,21,1
1279,757,1
1279,2331,1
1279,34599,1
1279,42544,1
1279,2618,1
1279,513,1
518,2044,1
2835,9834,2
2835,3125,1
2406,951,1
2406,6149,1
2406,6625,1
3136,1293,1
3136,4853,1
3136,228,1
4853,3801,1
4853,3619,1
4853,3136,1
3609,1448,1
3609,5891,1
8500,14347,1
8500,2694,1
3075,2882,1
5933,10629,1
5933,589,1
2452,1760,2
2452,3522,1
2452,2095,1
2452,1796,1
2452,20057,1
2452,400,1
2202,711,1
2202,5291,1
2202,3014,1
2202,1490,1
2202,11755,1
2202,1051,1
2202,1349,1
2202,1901,1
2202,400,1
2761,32,6
2761,949,1
2761,2001,1
2761,2553,1
2761,3067,1
2761,11979,1
2761,3785,1
2761,1549,1
2761,14837,1
2761,30,1
2761,3784,1
2406,951,1
2406,6149,1
2406,6625,1
2760,6288,1
2760,11977,1
2760,2759,1
2760,1967,1
2760,30,1
2760,1090,1
2760,31,1
3159,2034,2
3159,1087,1
5090,2461,1
4242,80,1
5013,709,1
1088,593,3
1088,218,2
1088,731,2
1088,80,2
1088,949,2
1088,2002,1
1088,95,1
1088,71,1
1088,801,1
1088,16498,1
1088,820,1
1088,19369,1
1088,2001,1
1088,1087,1
1088,16668,1
1088,2255,1
1088,4503,1
1088,12471,1
1088,2089,1
1088,1236,1
1088,48556,1
1088,15863,1
1088,290,1
1088,1178,1
1088,1650,1
1088,3670,1
1088,12029,1
1088,11227,1
1088,11021,1
1088,19775,1
1088,930,1
2451,1,3
2451,20057,3
2451,400,2
2451,1412,2
2451,424,2
2451,1425,2
2451,4039,2
2451,6,2
2451,2331,1
2451,1000,1
2451,5040,1
2451,1470,1
2451,1879,1
2451,2618,1
2451,2561,1
3125,2762,3
3125,1087,2
3125,2835,1
3125,1293,1
3125,469,1
3125,2037,1
3125,228,1
2406,951,1
2406,6149,1
2406,6625,1
2203,1426,1
2203,1425,1
2203,820,1
2203,1650,1
8373,7004,1
8584,820,1
11307,3624,1
23517,35450,1
23517,8713,1
929,85,2
929,34104,1
929,572,1
929,23259,1
929,1657,1
929,5153,1
929,182,1
929,1195,1
1920,2473,1
2722,400,2
2722,1,2
2722,544,1
2722,917,1
2722,1796,1
2722,424,1
2722,791,1
2722,1090,1
2722,1795,1
2722,1794,1
2406,951,1
2406,6149,1
2406,6625,1
1626,47,2
1626,1678,1
1626,1351,1
2546,2225,1
2933,424,1
2933,2361,1
2933,569,1
2933,1425,1
9905,627,1
30420,14069,1
30420,2520,1
52700,5168,1
2582,80,3
2582,3972,2
2582,81,2
2582,39539,1
2582,31251,1
2582,3927,1
2582,40438,1
2582,58,1
2582,39417,1
2582,38544,1
2582,3060,1
2582,1090,1
2582,1409,1
2582,8855,1
2582,2257,1
2582,570,1
2582,2516,1
2582,85,1
2582,1,1
2582,3079,1
1760,2452,2
1760,917,2
1760,1351,2
1760,1521,2
1760,1519,1
1760,2346,1
1760,5053,1
1760,25183,1
1760,23293,1
1760,889,1
1760,3127,1
1760,1285,1
1760,3448,1
1760,1357,1
1760,1358,1
1760,221,1
1760,1796,1
1760,272,1
3272,223,2
3272,3009,2
3272,31964,1
3272,589,1
3272,5832,1
3272,10033,1
3272,30276,1
3272,3295,1
3272,967,1
3272,2903,1
3272,3418,1
3272,3312,1
3272,813,1
3332,1293,3
3332,210,2
3332,8765,1
3332,9205,1
3332,9349,1
3332,5030,1
2542,2800,2
2542,338,1
2542,345,1
2542,1946,1
2542,10721,1
2542,2227,1
2221,2224,2
2221,4722,1
2221,334,1
2221,1453,1
2221,233,1
2221,1698,1
2221,877,1
2221,57,1
2221,1021,1
2221,1579,1
2406,951,1
2406,6149,1
2406,6625,1
2231,1087,2
2231,1453,1
2231,1065,1
3619,4853,1
5891,3609,1
5891,1448,1
3436,1,1
1824,578,19
1824,15227,4
1824,2753,3
1824,7117,3
1824,3646,2
1824,6211,2
1824,19135,1
1824,2311,1
1824,8896,1
1824,20235,1
1824,5929,1
1824,3785,1
1824,20469,1
1824,3367,1
1824,160,1
1824,7775,1
1824,757,1
1824,19115,1
1824,2915,1
1824,1329,1
2043,142,2
2043,1470,2
2043,1412,2
2043,1567,2
2043,37221,1
2043,25517,1
2043,1426,1
2043,24909,1
2043,424,1
2043,13203,1
2043,8310,1
2043,1425,1
2044,122,4
2044,530,3
2044,604,2
2044,2039,2
2044,38578,1
2044,5680,1
2044,2938,1
2044,518,1
2044,2038,1
2044,23135,1
2044,8206,1
2406,951,1
2406,6149,1
2406,6625,1
2089,1459,1
2089,16524,1
2089,1088,1
1873,52,1
1873,7081,1
1873,19319,1
1873,2108,1
1873,1710,1
1873,5273,1
2429,3044,1
2429,2199,1
5293,4318,1
5293,4003,1
5293,3787,1
5293,3192,1
5293,5585,1
5293,5907,1
5293,22943,1
5293,10904,1
5293,9324,1
5293,3065,1
5293,2529,1
5293,1641,1
5293,1620,1
5293,870,1
5293,1940,1
5293,2053,1
5293,2528,1
5293,2196,1
5293,2079,1
5293,434,1
3201,2427,1
9242,1065,1
3252,8375,1
16778,16802,1
2116,5231,2
2116,2316,2
2116,3438,1
2116,627,1
2116,170,1
2116,40488,1
2116,18689,1
2116,10507,1
2116,263,1
2116,3053,1
2116,1327,1
2116,183,1
2116,17,1
2116,20,1
2116,388,1
2116,7661,1
2762,3125,3
2762,17211,1
2762,635,1
2762,11813,1
2762,210,1
3670,1459,2
3670,1,1
3670,1793,1
3670,58,1
3670,400,1
3670,1088,1
3060,2582,1
3060,2560,1
3060,930,1
3060,80,1
3060,544,1
3060,1248,1
2406,951,1
2406,6149,1
2406,6625,1
2987,10808,1
2987,39198,1
2987,709,1
2987,593,1
2987,180,1
2987,3079,1
2572,7294,1
2572,26043,1
2572,7376,1
2578,6262,1
3180,4709,1
572,164,23
572,34599,7
572,1140,6
572,5420,5
572,513,5
572,199,3
572,4177,3
572,5220,3
572,160,2
572,50864,2
572,5014,2
572,1028,2
572,48414,2
572,4186,2
572,34712,2
572,953,2
572,457,2
572,10259,1
572,38691,1
572,432,1
572,39531,1
572,87,1
572,37765,1
572,1459,1
572,2078,1
572,40028,1
572,40834,1
572,37262,1
572,929,1
572,35851,1
572,39792,1
572,47,1
572,302,1
572,39575,1
572,32979,1
572,12677,1
572,5041,1
572,1030,1
572,431,1
572,7711,1
572,998,1
572,393,1
572,708,1
572,6802,1
572,5535,1
572,7279,1
572,2685,1
572,967,1
572,812,1
572,12477,1
572,9760,1
572,885,1
572,757,1
572,35838,1
572,58,1
572,3135,1
1921,1943,3
1921,1981,2
1921,1430,1
1921,7311,1
1921,885,1
1921,1441,1
1921,4382,1
1921,6547,1
1921,849,1
2406,951,1
2406,6149,1
2406,6625,1
2598,86,1
2598,95,1
1207,8496,3
1207,34148,3
1207,3841,2
1207,952,2
1207,5662,1
1207,38924,1
1207,32673,1
1207,15533,1
1207,2427,1
1207,38145,1
2579,3624,1
2579,1972,1
2579,3761,1
3162,2225,2
3162,3810,1
3162,283,1
3522,2056,2
3522,5031,1
3522,32182,1
3522,2560,1
3522,155,1
3522,6213,1
3522,10294,1
3522,2452,1
3021,1293,1
4813,3644,2
4813,3649,1
2311,1824,1
2311,5372,1
2311,3127,1
13789,15021,1
9866,2559,1
21081,31972,1
21081,25149,1
21081,43273,1
21081,25173,1
25033,7030,1
1426,4039,1
1426,2203,1
1426,2043,1
1426,1470,1
506,135,3
506,4722,1
506,99,1
506,311,1
506,1375,1
506,313,1
506,2800,1
506,427,1
506,440,1
506,2224,1
506,35228,1
4503,30,1
4503,1088,1
4503,218,1
2406,951,1
2406,6149,1
2406,6625,1
3081,311,1
3327,302,1
3327,1251,1
3327,2618,1
2211,19233,1
2211,39792,1
2211,1979,1
3754,2150,2
3723,1333,1
29177,8671,1
1089,820,2
1089,1090,2
1089,256,1
1089,758,1
1089,1092,1
1089,1967,1
1089,441,1
1089,949,1
1089,3016,1
1089,87,1
1089,4565,1
1089,1034,1
1089,393,1
1089,12149,1
1089,2042,1
1089,90,1
2406,951,1
2406,6149,1
2406,6625,1
3239,158,1
3239,1339,1
2607,974,2
2607,317,1
2607,18679,1
2607,3152,1
2607,40664,1
2607,32979,1
2607,2196,1
2607,227,1
2607,9356,1
2607,37981,1
2039,2044,2
2312,31580,1
2770,2679,1
1333,3723,1
11087,2724,1
19135,12905,1
19135,1824,1
19135,578,1
37192,36354,1
967,14719,15
967,33,6
967,2903,5
967,1254,4
967,589,4
967,20899,3
967,6,2
967,4427,2
967,10033,2
967,813,2
967,4981,2
967,666,2
967,5496,1
967,13161,1
967,5355,1
967,1169,1
967,4810,1
967,39026,1
967,4039,1
967,26055,1
967,44388,1
967,1468,1
967,22687,1
967,38691,1
967,1559,1
967,1470,1
967,2772,1
967,287,1
967,3272,1
967,3625,1
967,582,1
967,3009,1
967,3418,1
967,28223,1
967,379,1
967,2402,1
967,961,1
967,572,1
967,3509,1
967,64,1
1972,1430,1
1972,37023,1
1972,2579,1
1972,1412,1
1972,3313,1
2406,951,1
2406,6149,1
2406,6625,1
2361,1448,1
2361,2933,1
2361,2510,1
5153,182,2
5153,6772,1
5153,8855,1
5153,929,1
3644,4813,2
3644,3649,1
1935,1347,3
1935,1303,1
1935,19775,1
1935,43,1
1935,3127,1
1935,47,1
1935,1504,1
1935,544,1
1935,1488,1
1935,878,1
1935,1747,1
1935,2423,1
2547,2829,2
2547,42429,1
2547,1695,1
2547,795,1
2547,1878,1
2547,2555,1
2547,345,1
2547,2549,1
2547,2800,1
2547,2810,1
1488,474,2
1488,71,1
1488,820,1
1488,85,1
1488,3089,1
1488,33352,1
1488,732,1
1488,1935,1
1488,2090,1
1488,1299,1
1488,2500,1
2406,951,1
2406,6149,1
2406,6625,1
2196,3192,2
2196,434,1
2196,3135,1
2196,5293,1
2196,1176,1
2196,435,1
2196,5907,1
2196,2607,1
2196,182,1
496,1378,2
496,36028,1
496,617,1
496,46,1
496,2418,1
496,419,1
3120,12745,2
3120,2468,1
3120,11867,1
3120,2103,1
3120,268,1
7273,2981,4
7273,2724,1
7273,2346,1
2088,1,1
3649,4491,1
3649,9851,1
3649,4813,1
3649,3644,1
3649,2403,1
17787,11483,1
7156,256,1
5540,320,1
4126,23129,1
31263,31259,1
9389,33094,1
85,820,4
85,16498,3
85,3927,2
85,929,2
85,21639,1
85,2158,1
85,34866,1
85,1563,1
85,94,1
85,39417,1
85,6336,1
85,930,1
85,1575,1
85,237,1
85,1488,1
85,36023,1
85,160,1
85,474,1
85,949,1
85,22729,1
85,2582,1
85,3613,1
85,2581,1
85,33064,1
85,329,1
85,2904,1
85,95,1
85,92,1
1065,5941,9
1065,1453,6
1065,386,3
1065,627,3
1065,1087,2
1065,11697,2
1065,2231,1
1065,390,1
1065,729,1
1065,245,1
1065,13585,1
1065,32947,1
1065,9242,1
1065,38098,1
1065,12189,1
1065,5834,1
1065,5040,1
1065,2159,1
1065,4062,1
1065,36565,1
1065,18689,1
1065,12431,1
2406,951,1
2406,6149,1
